,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
0,Male,19,15,39,3
1,Male,21,15,81,3
2,Female,20,16,6,0
3,Female,23,16,77,2
4,Female,31,17,40,2
5,Female,22,17,76,2
6,Female,35,18,6,0
7,Female,23,18,94,2
8,Male,64,19,3,1
9,Female,30,19,72,2
10,Male,67,19,14,1
11,Female,35,19,99,2
12,Female,58,20,15,0
13,Female,24,20,77,2
14,Male,37,20,13,1
15,Male,22,20,79,3
16,Female,35,21,35,0
17,Male,20,21,66,3
18,Male,52,23,29,1
19,Female,35,23,98,2
20,Male,35,24,35,1
21,Male,25,24,73,3
22,Female,46,25,5,0
23,Male,31,25,73,3
24,Female,54,28,14,0
25,Male,29,28,82,3
26,Female,45,28,32,0
27,Male,35,28,61,3
28,Female,40,29,31,0
29,Female,23,29,87,2
30,Male,60,30,4,1
31,Female,21,30,73,2
32,Male,53,33,4,1
33,Male,18,33,92,3
34,Female,49,33,14,0
35,Female,21,33,81,2
36,Female,42,34,17,0
37,Female,30,34,73,2
38,Female,36,37,26,0
39,Female,20,37,75,2
40,Female,65,38,35,0
41,Male,24,38,92,3
42,Male,48,39,36,1
43,Female,31,39,61,2
44,Female,49,39,28,0
45,Female,24,39,65,2
46,Female,50,40,55,0
47,Female,27,40,47,2
48,Female,29,40,42,2
49,Female,31,40,42,2
50,Female,49,42,52,0
51,Male,33,42,60,3
52,Female,31,43,54,2
53,Male,59,43,60,1
54,Female,50,43,45,0
55,Male,47,43,41,1
56,Female,51,44,50,0
57,Male,69,44,46,1
58,Female,27,46,51,2
59,Male,53,46,46,1
60,Male,70,46,56,1
61,Male,19,46,55,3
62,Female,67,47,52,0
63,Female,54,47,59,0
64,Male,63,48,51,1
65,Male,18,48,59,3
66,Female,43,48,50,0
67,Female,68,48,48,0
68,Male,19,48,59,3
69,Female,32,48,47,2
70,Male,70,49,55,1
71,Female,47,49,42,0
72,Female,60,50,49,0
73,Female,60,50,56,0
74,Male,59,54,47,1
75,Male,26,54,54,3
76,Female,45,54,53,0
77,Male,40,54,48,1
78,Female,23,54,52,2
79,Female,49,54,42,0
80,Male,57,54,51,1
81,Male,38,54,55,3
82,Male,67,54,41,1
83,Female,46,54,44,0
84,Female,21,54,57,2
85,Male,48,54,46,1
86,Female,55,57,58,0
87,Female,22,57,55,2
88,Female,34,58,60,2
89,Female,50,58,46,0
90,Female,68,59,55,0
91,Male,18,59,41,3
92,Male,48,60,49,1
93,Female,40,60,40,0
94,Female,32,60,42,2
95,Male,24,60,52,3
96,Female,47,60,47,0
97,Female,27,60,50,2
98,Male,48,61,42,1
99,Male,20,61,49,3
100,Female,23,62,41,2
101,Female,49,62,48,0
102,Male,67,62,59,1
103,Male,26,62,55,3
104,Male,49,62,56,1
105,Female,21,62,42,2
106,Female,66,63,50,0
107,Male,54,63,46,1
108,Male,68,63,43,1
109,Male,66,63,48,1
110,Male,65,63,52,1
111,Female,19,63,54,2
112,Female,38,64,42,0
113,Male,19,64,46,3
114,Female,18,65,48,2
115,Female,19,65,50,2
116,Female,63,65,43,0
117,Female,49,65,59,0
118,Female,51,67,43,0
119,Female,50,67,57,0
120,Male,27,67,56,3
121,Female,38,67,40,0
122,Female,40,69,58,2
123,Male,39,69,91,3
124,Female,23,70,29,2
125,Female,31,70,77,2
126,Male,43,71,35,1
127,Male,40,71,95,3
128,Male,59,71,11,1
129,Male,38,71,75,3
130,Male,47,71,9,1
131,Male,39,71,75,3
132,Female,25,72,34,2
133,Female,31,72,71,2
134,Male,20,73,5,1
135,Female,29,73,88,2
136,Female,44,73,7,0
137,Male,32,73,73,3
138,Male,19,74,10,1
139,Female,35,74,72,2
140,Female,57,75,5,0
141,Male,32,75,93,3
142,Female,28,76,40,2
143,Female,32,76,87,2
144,Male,25,77,12,1
145,Male,28,77,97,3
146,Male,48,77,36,1
147,Female,32,77,74,2
148,Female,34,78,22,0
149,Male,34,78,90,3
150,Male,43,78,17,1
151,Male,39,78,88,3
152,Female,44,78,20,0
153,Female,38,78,76,2
154,Female,47,78,16,0
155,Female,27,78,89,2
156,Male,37,78,1,1
157,Female,30,78,78,2
158,Male,34,78,1,1
159,Female,30,78,73,2
160,Female,56,79,35,0
161,Female,29,79,83,2
162,Male,19,81,5,1
163,Female,31,81,93,2
164,Male,50,85,26,1
165,Female,36,85,75,2
166,Male,42,86,20,1
167,Female,33,86,95,2
168,Female,36,87,27,0
169,Male,32,87,63,3
170,Male,40,87,13,1
171,Male,28,87,75,3
172,Male,36,87,10,1
173,Male,36,87,92,3
174,Female,52,88,13,0
175,Female,30,88,86,2
176,Male,58,88,15,1
177,Male,27,88,69,3
178,Male,59,93,14,1
179,Male,35,93,90,3
180,Female,37,97,32,0
181,Female,32,97,86,2
182,Male,46,98,15,1
183,Female,29,98,88,2
184,Female,41,99,39,0
185,Male,30,99,97,3
186,Female,54,101,24,0
187,Male,28,101,68,3
188,Female,41,103,17,0
189,Female,36,103,85,2
190,Female,34,103,23,0
191,Female,32,103,69,2
192,Male,33,113,8,1
193,Female,38,113,91,2
194,Female,47,120,16,0
195,Female,35,120,79,2
196,Female,45,126,28,0
197,Male,32,126,74,3
198,Male,32,137,18,1
199,Male,30,137,83,3
